group          , name                , address      , size
BL2            , BL31                , 0x600a2020   , 0x30000
BL2            , ATF                 , 0x600a20a8   , 0x1dce0
BL2            , ATF-DTB             , 0x600bfd88   , 0x25a
BL2            , shadow-ATF          , 0x3c732b0000 , 0x1dce0
BL2            , shadow-ATF-DTB      , 0x3c735b0000 , 0x25a
BL2            , BL32                , 0x603a2040   , 0x80000
BL2            , Hafnium             , 0x603a20c8   , 0x2b148
BL2            , Hafnium-DTB         , 0x603cd210   , 0x8cf8
BL2            , shadow-Hafnium      , 0x3c735c0000 , 0x2b148
BL2            , shadow-Hafnium-DTB  , 0x3c753c0000 , 0x8cf8
BL2            , SP                  , 0x621a2060   , 0x48f000
BL2            , BL33                , 0x3c6c000000 , 0x48f000
BL32           , text                , 0x3c735c0000 , 0x23000
BL32           , rodata              , 0x3c735e3000 , 0x6000
BL32           , data                , 0x3c735e9000 , 0x232000
BL32           , stacks              , 0x3c7401b000 , 0x2a0000
BL32           , vm-satmc            , 0x3c753d0000 , 0x1000
BL32           , vm-stmm             , 0x3c757d0000 , 0x1000
BL32           , vm-ras              , 0x3c75fd0000 , 0x1000
BL32           , vm-m                , 0x3c767d0000 , 0x1000
STMM           , SpMem-real          , 0x3C757D0000 , 0x800000 # SPMemoryLimit
STMM           , SpMem               , 0x3C757D0000 , 0x1B6000 # SpMem-limit is SpImage-base + SpImage-szie
STMM           , SpImage             , 0x3C757D1000 , 0x1B5000
STMM           , ffa_rx              , 0x3C75FCF000 , 0x1000
STMM           , ffa_tx              , 0x3C75F6E000 , 0x1000
STMM           , SpHeap              , 0x3C75986000 , 0x5E8000
STMM           , sp_ns_buf           , 0x3C6A018000 , 0x1EF000
STMM           , sp_sec_buf          , 0            , 0
STMM           , cpu_bl_buf          , 0x3C6A008000 , 0x10000
STMM           , ras_mm_buf          , 0x3C7FFF4000 , 0x9000
STMM           , satmc_buf           , 0x3C7FFFD000 , 0x1000
STMM_broken    , SpMem-real          , 0x3C757D0000 , 0x800000
STMM_broken    , SpMem               , 0x3C757D0000 , 0x3f3000
STMM_broken    , SpImage             , 0x3C757D1000 , 0x3F2000
STMM_broken    , ffa_rx              , 0x3C75FCF000 , 0x1000
STMM_broken    , ffa_tx              , 0x3C75F6E000 , 0x1000
STMM_broken    , SpHeap              , 0x3C75BC3000 , 0x3AB000
