group          , name            , address    , size
FW_CONFIG      , tb_fw-config    , 0x0001f300 , 0x00000200
FW_CONFIG      , tos_fw-config   , 0x0001f500 , 0x00001000
FW_CONFIG      , nt_fw-config    , 0xF3000000 , 0x00100000
boot_atf       , FW_CONFIG_ID    , 0x0001a010 , 0x000001bb
boot_atf       , BL2             , 0x00090000 , 0x000196da
boot_atf       , BL31            , 0x0006b000 , 0x00018262
boot_atf       , BL32            , 0xfa889000 , 0x00038620
TOS_FW_CONFIG  , memory-sp       , 0xfa889000 , 0x00400000
TOS_FW_CONFIG  , memory-heap     , 0xfad00000 , 0x00500000
TOS_FW_CONFIG  , ns-memory-sp    , 0x80000000 , 0x78FE0000
TOS_FW_CONFIG  , ns-memory-cper  , 0xFA879000 , 0x00010000
TOS_FW_CONFIG  , device-memory   , 0x04000000 , 0x04000000
TOS_FW_CONFIG  , vm1             , 0xFAA00000 , 0x00300000
boot_hafnium   , data            , 0xfa8c1000 , 0x000FD000
boot_hafnium   , stacks          , 0xfa9c9000 , 0x00020000
boot_hafnium   , text            , 0xfa889000 , 0x0002B000
boot_hafnium   , rodata          , 0xfa8b4000 , 0x0000D000
STMM_CONFIG    , heap            , 0xfad00000 , 0x00500000
STMM_CONFIG    , shared-buff     , 0xfae89000 , 0x00010000
STMM_CONFIG    , ns-comm         , 0xf3200000 , 0x00030000
STMM_CONFIG    , cper-buffer     , 0xFA879000 , 0x00010000
boot_stmm1     , header_and_dt   , 0xFAA00000 , 0x00002000
boot_stmm1     , SpHeap          , 0xFAD00000 , 0x00500000
boot_stmm1     , SpMem           , 0xFAA02000 , 0x002fe000
boot_stmm1     , SpSharedBuf     , 0xFAE89000 , 0x00100000
boot_stmm1     , SpNsCommBuf     , 0xF3200000 , 0x00030000
boot_stmm2     , EfiMemory       , 0xFAA02000 , 0x002fe000
boot_stmm2     , HobStart        , 0xFAD00000 , 0x00001000
boot_stmm2     , EfiFreeMemory   , 0xFAD01000 , 0x004ff000
